quechua,spanish
chayrutaqa ch'uñu saqtayuqtan wayk´ukun,el chairo se prepara con chuño chancado
qosqo llaqtapi hinallataq wak llaqtakunapipas runakunaqa sarawanmi allin qhali kanku,en el cuzco como en los otros pueblos andinos el maíz alimenta muy bienlos hombres
sawintu sach'aqa aycha ruruyuqmi,el guayabo tiene un fruto carnoso
sikutaqa phukuspa waqachina,la zampoña se toca soplando
"waraqoq khishkan chakiyman haykuruwan ,  ama hina kaspa orqorukuway",una espina del cactus se me ha introducido en el pie .  por favor extráemelo
sarata t'ipispaqa markapin waqaychana,luego de despancar el maóz se gurda en la ramada
tarpuy killapaqñan chayamusaq,vendré ya para la época del sembrío
llapallankun llaqtaman rishanku,todos están yendo al pueblo
kay qara patachapi tiyaykuy,siéntate sobre este cuerito
wawalla kashaspaqa maychunuyo llaqtapin tiyarayku,estando niño radicamos en maychunuyo
kay qhelqataqa manan noqachu ruwarani yanqan tumpawashanku,"este escrito no lo hice yo ,  por gusto me están calumniando"
alqoqa uywakunatan muyurispa sapa tutan kanispa,el perro rodea al ganado ladrando cada noche
unuqa ancha allinmi kurkunchispaq hinallataq qhalilla kananchispaq,el agua en buenosaludable para nuestro cuerpo
ch´oqhoy qhepamanqa manan toqayninchistaqa millp´unanchischu thoqananchismi chaymanta sarunanchis,luego de toser no debemos tragarnos la saliva͖ debemos escupirlaluego pisarla
"hayan thuqayniyqa kashan ,  ima llakikuyniychá kanqa",tengo la saliva amarga͗ qué preocupaciones tendré
"ana ,  ama hina kaychu ,  sapanka wawaman chay patarakunata rakiy","anita ,  por favor distribuye estos libroscada niño"
t'ipanawan allinta mantunniykita t´ipay,asegura tu mantita con el prendedor
sipaskunaqa sumaq t'ipanakunawan t'ipasqa llaqtata rinku,las jovencitas van al pueblo exhibiendo sus mejores prendedores
¿ pitaq chay t'ikakunatari t´irarun ?,͎quién arrancó esas flores͍
chay t'oqo hatun waraykitaqa amaña churakuychu,ya no te pongas tu pantalón con agujeros
sara chakramantaqa qorakunata saphintinta wikhana,las malas hierbas deben ser arrancadas desde la raíz de las chacras de maíz
llink'i hallp´aqa paraqtinmi t´uruyan,la tierra arcillosala removida se pone barrosa cuando llueve
yuraq umiñayuq siwita ruwachipusqayki,te mandaré hacer una sortija con diamante blanco
"paqarinqa manan qasisaqchu ,  onqoqniypaqmi wayk´unay kashan","el día de mañana no estaré libre ,  debo de cocinar para mi paciente"
karruypa llantantan allichasharani,estaba arreglando la llanta de mi carro
khullu papamantaqa ch'uñuta ruwanchis,elaboramos chuño de la papa menuda
¡haw !  kay uchuqa nishutan hayasqa,¡jau !  ¡qué picante este ají !
wakayqa chinata wachapuwasqa,mi vaca había parido una cría hembra
mana sasachakuywanmi phishqa watamanta soqta watamanqa chayasaq,pasaré sin mayores diįcultades del quinto al sexto grado
mamaymi sumaq mikhunata wayk´un,mi mamá cocina una comida deliciosa
qapariqtiymi manaña khatatatanñachu,cuando se le gritó dejó de delirar
kay raqachaqa rumumanmi rikch'akun,esta racacha se parecela yuca
¿ camionmanta qhatukuna suwaq runata yuyashankichu ?,¿ recuerda al hombre que robó la mercadería del camión ?
"kay lapischakunata rakiy ,  llapanmanmi aypachinayki","distribuye estos lápices ,  pero haz alcanzartodos"
ch'aska lloqsiytaraqmi chakra llank'aq runakunaqa hatarin,los andinos ya se levantan cuando aparece la estrella venus
"kay ishkay k'aspichakunata watay ,  ichapas aqna aypanman","une estos dos palos ,  quizás así alcancen"
pujilí llaqtapiqa llimp'isqa paqpa ch'awartan qhatunku,en el pueblo de pujilí venden pita teñida de maguey
chay sipascha wasinman phawaylla rishan,esa señorita está corriendo hacia su casa
chay erqekunaqa wichaymanmi phawasharanku,los niños estaban corriendo hacia arriba
kay wataqa sumaq watan kanqa,este año será un buen año
tayta churinpa mana allin watasqanta watapan,el padre reamarra lo que el hijo no amarro bien
chay tayta allinta llank´an,aquel padre trabaja bien
chay tayta hinaqa manan hukqa kanchu,como aquel padre no hay otro
chakrapi runakuna llank´ashanku,los hombres están trabajando en la chacra
qosqopiqa hallp´ataqa turukunawanmi yapunku,en cusco el terreno aran con el ganado
¿ imata chayraykipi tarpunki ?,¿ qué vassembrar en tu chacra ?
chakrantan qarpasharan,estaba regando su chacra
waynaqa wawqenwanmi ñut'upashan,el joven está roturando con su hermano
taytanqa qoranatan ruwashan,el padre está haciendo tirapié
chay sipaskuna k´umushanku oqarinankunpaq,esas señoritas estan agachándose para recoger
chay chuchu ichhuqa nishu ch´akin manan wawakunapas mikhunkuchu,la paja brava es tan dura que ni las vacas las comen
"wayra ,  inti ,  unu ,  runa ,  uywakunapas kallpayuqmi kanchis","el viento ,  el sol ,  el agualas personas tenemos fuerza"
wawqechayqa tenazawanmi makinta kanirachikun,la tenaza mordió la mano de mi hermanito
chay wawaqa mamanpa ñuñunta kanirusqa,esa criatura mordió el pezón de su madre
allin kaqtapunin ruwanayki,debes hacer siempre el bien
sumaqllatan pukllananchis ama urmayunapaqqa,si jugamos sin cuidado podemos caernos
alqotaqa kunkanmanta watana,a los perros se les amarra del pescuezo
ishkay k'ullutan chaka ruwananchispaqqa q'episunchis,trasladaremos dos troncos para construir el puente
wiksanchis hunt'a kaqtinqa imatapas kusikuywanmi ruwanchis,"si la barriga está llena ,  todo lo hacemos alegremente"
kay q'aytuta ishkay ishkaymanqa kuruy,ovíllame este hilo poniéndolo dedos
wawaqa suti taytanman chimpaykun,la niña se acercósu padrino de bautismo
uyan munay hawt´iy rit´i kan,su rostro tiene la belleza de un copo de nieve
"waylluqtiyki ,  llapan muyuyninpi kaq allinpinim","cuando amas ,  todotu alrededor tiene más sentido"
"taki allin kayta apamun ,  khuyay kaqtinpas","la música inspira entusiasmo ,  incluso si es sombría ,"
"allin ruwayqa mati unipi mishk´ihinan; pisi kaqtinpas ,  llapan mishk´imanmi tukuchin","la esperanza es como el azúcar en el té; incluso cuando hay muy poco ,  hará que todo sea más dulce"
kunanpunin allin ima ruwanapaqpas,el mejor momento para la acción es ahora
manan hayk´aqpas yacharanichu wak runa kusichiwananta,nunca pensé que otra persona podría hacerme tan feliz
tuta mikhuna sumaqmi kanman karqan asnasharanpas sumaqtan,la cena parecía deliciosaolía muy bien
"¡qolqe orqokuyqa allinpunin ,  yanqallamanta qolqe hamuyqa llapantan t´ikrarunman !","¡ganar la lotería es grandioso ,  porque una ganancia inesperada puede cambiarlo todo !"
"¡t´inkasun kasarakuqkunarayku ,  kawsaypi allin purinankupaq !","¡brindo por la noviael novio ,  para que tengan suerte en la vida !"
sumaq allinpunin allin waliqpunin regalo qowasqankuqa,fue el regalo más maravillosovalioso que podian darme
"musqhoykuna hunt´akuyta atinmanhinaqa ,  sumaq kawsaytan apamun","la posibilidad de que los sueños se cumplan ,  hace que la vida sea fascinante"
"ima qallariqtinpas allinpunin kakun ,  imapis ruwakullanmanpunin","me encanta lo que se siente cuando algo comienza ,  porque cualquier cosa es posible"
allin ñanqa allintapunin apamunqa,el camino correcto siempre evoca sentimientos positivos
imaymanatan llapan atisqayta ruwashani mana nishuta oqllarunaypaq,estoy haciendo todo lo que puedo para no abrazarlo muy fuerte
"sapa kuti sumaq asikuq runakunata rukuqtiy ,  noqapas anchatan asikuni","cada vez que veopersonas que son amablessonrientes ,  también sonrío ampliamente"
"kawsayqa manan samayninpichu tupukun ,  ichaqa kawsasqaykikuna samayninta","la vida no se mide por el número de respiraciones ,  sino por el número de momentos que te dejan sin aliento"
"wakin hatun ruwaykuna ,  rakikunmi ,  khumpatan tarin","hay algunos eventos que ,  si se comparten ,  generan amistad"
"allin yachayqa ,  nanayta ishkayayta chanqaqtiykin kan","la delicia intelectual ,  se produce cuando se eliminan las sospechasel dolor"
ch´inlla kaqtiyqa manan kusisqa kani chaytapunichu nin,el hecho de que sea silencioso no significa que no sea infinitamente feliz
"allintan yachasqay qhepaman ,  tapuykunata allin yupaywan pasani","después de estudiar mucho ,  aprobé el examen con la mejor calificación"
wañuchiq,asesino
maqaq,agresor
machaq,borracho
ch'aqwa,bulla
huchasapa,culpable
suwa,ladrón
ñak'arichiq,torturador
huchachaq,acusación
unchuchuku,comadreja
asna,olor fétido
payllapaq munaq,envidia
hallmu,romo
hamak'u,garrapata
phiña,amargo
yuraq,blanco
k'uchu,rincon
sach'a,árbol
maway,primeras papas
qasa,helada
raymi,fiesta
raphi,hoja
respetuwan,respeto
sasachaykuna,problemas
watuchi,adivinanza
willakuy,cuento
mana tukukuq pampa,desierto
kawsaynin,conducta
pachatupu,geometría
ch'uma,desabrido
p'oshqo,salado
haya,agrio
mana kachiyuq,sin sal
qhelli,sucioimpuro
khaska,áspero
k'awchi,puntiagudo
llasa,pesante
qhopo,motoso
sarpha,escama
paray,llover
lloqsiy,salir
killachaw,lunes
atichaw,martes
manan michi aychataqa mikhuykuchu,no comemos carne de gato
paymi lampayta hap'ishan,él tiene mi lampa
ama k'uychita qawaychu,no mires el arco iris
kay llaqtamanta kani,soy de este pueblo
wasita qhaway,mira la casa
ama qhelli makiykiwan mikhuychu,no comas con tus manos sucias
kunanmantaqa aman rimankichu,no debes hablar desde ahora
aman kutimunaykama puñunkichu,no vasdormir hasta que regrese
qanraykun ñak'ariran,sufrió por ti
allin llank'aqmi karani,solía trabajar bien
kayman haykumuy,entra aquí
umaymi nanawashan,me duele la cabeza
p'achaykiwan churakuy,ponte tu ropa
taytanmi willawaran,su papá me contó
umaykita maqch'ikuy,lávate la cabeza
qayna-p'unchaw chayamuran,anteayer llegó
mana allintachu khuchun,no corta bien
puñushanraq p'unchawña kashaqtinpas,todavía duermepesar de que ya es de día
yanqan rirani,he ido en vano
kishkan makiyman haykurun,la espina penetró en mi mano
ama much´aychu,no de besos
ama oqllakuychu,no de abrazos
qan waqanki,tú llorarás
noqamanta rimanku,hablan de mi
mikhusqan qhepanmanña hamuran,vino después de comer
waqayuspan ripun,se fué llorando
manan noqaqa rikunichu,yo no he visto
ama pukllaychu,no juegues
tarpunapaqñan noqaqa wayq'otaqa risaq,iréla quebrada ya para el período del sembrío
umasapa wallpaqa chakrapin runturusqa,la gallina cabezona ha puesto huevo en la chacra
chay usasapa p'ashñaqa kawituypin puñurusqa,esa chica piojosa había dormido en mi cama
michiq alqota waka waqrarapusqa,la vaca ha corneado al perro pastor
alberton wañusqa atoqta tarisqa,alberto encontró un zorro muerto
mikhunata khuchiman wikch'uykuy,tirale comida al chancho !
"maria ,  haqay mot'ita mikhumuy","maria ,  vecomer ese mote"
"andrés ,  haqay puñunapi puñumuy","andres ,  anda vedormir en esa cama"
chay wallpakunata puñuchiy,haz dormiresas gallinas
manan uywakitaqa rikunichu,no he vistotu animal
imatachá payqa munan,que cosa sera lo que él quiere
wawakunaqa sarnayuq alqowan pukllasqankumanta chay onqoyniyuq rikhurillankutaq,los niños resultaron contagiados de sarna por jugar con perros enfermos
mana kamachikuywanqa manan haykuwaqchu,no puede pasar sin autorización
manan imatapas qonchu,no dio nada
kamachiykikun wasimanta lloqsinaykipaq,le ordenamos que salga de la casa
mana imatapas pakanichu,no oculto nada
chay runaqa yukakuqmi,esa persona es embustera
chay warmiqa llapallantan chiqnikun,esa mujer odiatodos
alqoykiqa hank'uypin kaniruwan,tú perro me mordió la pantorrilla
wachakuq warmikunallan mana kachiyuqtaqa mikhunku,solamente las mujeres parturientas comen comidas sin sal
saqesqay hinallan kashan,esto está tal como lo dejé
alqoqa lliw kisutan mikhurapusqa,el perro se había comido todo el queso
qolqeyuqkunaqa mana qolqeyuqkunata saruchakuranku,los adinerados siempre humillaronlos pobres
llapan huk'uchakunatan michiqa mikhurapusqa,el gato se había comido todos los ratones
manan pipas qhelli runakunataqa rikuyta munanchu,nadie desea verpersonas sucias
unun ñantaqa thuñirachipusqa,el agua ha erosionado la carretera
mana allin uywasqallan hat'aqoqa kikillan sumaqllaña wiñarusqa,el bledo creció abundantemente sin cuidado alguno
chay qhariqa huk warmiwanmi khuchichakusqa,ese hombre pecó con otra mujer
purun runaqa manam napaykukuytapas yachanchu,la gente vulgar no sabe ni saludar
qatayniyqa karu llaqtatan llank'apakuq rin,mi yerno se fuetrabajarun pueblo muy lejano
ch'isi tutan yachay wasi qespikunata p'akirpamusqaku,anoche habían roto los vidrios de la institución educativa
qhelli p'achayuq runaqa manan allinchu rikukun,las personas desaseadas no son bien vistas
kayqa sapa ishkay p'unchawmi kaqlla ruwakun,esto se repite cada dos días
muyu muyu wayraqa hallp´ata huqarispa q'oshñitaraq hatarichin,el remolino levantando la tierra produce polvo
wawaypa yachachiqninwanmi rimaq risaq,voyconversar con el profesor de mi hija
ima kayninchista muchuchiqtinkuqa noqanchisqa allinmi hatariyninchisqa,"al ver pisoteadas nuestros derechos ,  es justo levantarsereclamar"
chay runaqa supaymi,esa persona es un maldito
manan noqachu kay harawitaqa qhelqarani,esta poesía no le escribí yo
chay ruwaynikiqa manan allinchu kashan,este comportamiento está mal
amaña chay t'oqo t'oqo hatun waraykiwanqa churakuyñachu,ya no te pongas tu pantalón con agujeros
yunkapiqa manas aychataqa waqaychayta atinchischu,en la selva no se puede guardar la carne fresca
hatunchasqa runakunaqa kawsayniykimantan asikun,los poderosos se ríen de tu vida
ama moqonpi sirasqa waraykitaqa apaychu,no lleves tu pantalón de rodillas foradas
sapallanmi chay runaqa waqtuta ukyarapusqa,esa persona sola se ha tomado toda la botella de cerveza
kaypiqa nishutan chirin,aquí hace mucho frío
manan hayk´aqpas onqosqa runakunamantaqa asikunachu,nunca debemos burlarnos de las personas que tienen alguna luxación
k'aminakuyqa manan allinchu,insultarse no es bueno
ama suwaspa llank'aychis,trabajen sin robar
"kunan p'unchawqa manan kicharayanchu ,  hatun p´unchawmi","hoy no hay atención ,  es feriado"
sipasqa rumiwan mikhuna wayk´uq yanapaqta taripaspahina ch´aqeyta qallarisqa,la muchacha empezóapedrear al mozo en cuanto lo alcanzó
alqoyki aychayta qechurpariwan,tu perro me ha quitado mi carne
aman mana ninriyuq mankataqa apamunkichu,no vayastraer la olla desorejada
"chay saraqa mana allin chullusqaraqmi ,  chuchuraqmi kashan","ese maíz todavía no está bien remojado ,  aún está duro"
mana hampisqa k'irinchisqa qhelliwanmi q´eyachakun,en una herida sin curarcon suciedad seguro ha de formarse pus
ch´aran llant'aqa manan rawranchu q'oshñitan sayarichin,la leña mojada no ardeproduce muchísimo humo
"ashkha ñawinchanan kashan ,  tutakamachá rikch´ankichis","tienen mucho que leer ,  estarán despiertos hasta tarde"
"¡amapuni wawataqa sapallantaqa saqinkichu ,  rikunkipuni ,  unumantaq urmaykurkunman !","¡no dejesla criatura sola ,  cuidado que se caiga al agua !"
wawatataq chirirunman; ¡llikllawan walthaykuy !,"pueda ser que este niño se resfríe ,  ¡envuélvelo con la manta !"
aqha suysunaqa mana ninriyuqmi,la canasta de cernir de la chicha no tiene asa
"t'urumanta q'opatan ruwasharani ,  paran hark'aruwanku","estuve haciendo adobes ,  la lluvia nos ha entorpecido"
paqarinmi mamayqa punchu awayta tukunqa,mi mamá mañana terminará de tejer el poncho
kunanraqchu llank'aq tukushanki͍,͎recién aparentas estar trabajando͍
mana mikhuy munaq runaqa tullullañan purin,la persona que no quiere comer anda muy flaco
wallpataqa chupanmantan hap'ina,a las gallinas hay que cogerlas de la cola
"ch'aki chikchipata mankaman raphillanta qhakuykuy ,  tulluntaqa wisch'upunki",desmenuza las hojas secas de la chicchipaéchalasla ollabota los tallitos
"uchutaqa mushk'api qollutawan kutay ,  saratataq maranpi tunawawan ,  chaymi allinqa kanqa","muele el ají en el morteroel maíz en el batán ,  eso es lo más pertinente"
chay yuraq millwataqa pukamanmi tullpusaq,esa lana blanca voyteñirlarojo
"runakunaqa mayninpi waqati kanku ,  kikin waqati kayqa mana allintan saqin","aunque las personasveces son cobardes ,  la propia cobardía deja un mal gusto"
chay ishkay erqeqa qaraywahina thallasqaku,esos dos niños estaban echados como lagartos
"k´uychichay p'unchawtaqa hamunkipuni ,  chaytaq qunqawaq","el día sábado tienes que venir ,  no vayasolvidarte"
"hanaq pacha wichaypi kashan ,  nina rawray pachataq uraypi kashan",el cielo está arribael “infierno” está abajo
orqo paqochakunaqa orqopin mikhunku chinakunataq pampapi uñankunawan kushka,"las alpacas machos pastan en los cerroslas hembras ,  junto con sus crías ,  en las pampas"
puna runakunaqa llama kunkamanta husut´ayuqmi puriranku,los pobladores de las punas solían caminar con sandalias hechos de cuero del cuello de las llamas
noqaqqa ishkay ususiymi kan kinsa churiykunapiwan llapanpiqa phishqa,"tengo dos hijastres hijos ,  en total son cinco hermanos"
ichaqa rinakunapi millay kanman uywaq ismusqa aychan qhway mushkhiy,quizás la mayor fuente de disgusto en los humanos es la vistael olorcarroña
"uturunkuqa sach'akunamanpas siqanmi ,  chaypitaq pakakunpas chaymanta hap'inanpaq","el jaguar trepa los árboles; escondido allí ,  caza sus presas"
"imatapas runa ruwaqtin ,  manan phiñachinqachus chayta suyanchu","cuando una persona hace algo ,  podría no esperar que lo hará sentir disgustado"
wakamayuqa yaqa runakuna hinan riman,el papagayo imitahablar casi como otras personas
wasimasinchispaqa huk ususichanmi kan,nuestro vecino tiene una hijita
chay khuchiqa nishu wirallañan,ese cerdo es demasiado gordo
yachay wisipin noqa tinyata waqtani,en la escuela yo toco el tambor
"¡chay churiykita upallachimuy ,  umaytaña nanachiwashan !","¡andahacer callarese tu hijo ,  ya me está molestando !"
"¡yaw warma ,  taytaykita waqhamuy !",¡oye niño !  corre llamatu papá
"turukunaqa ishkay waqrayuqmi ,  ichaqa tarukakunañataqmi tawa waqrayuq","los toros poseen dos cuernos ,  en cambio los venados tienen cuatro"
kawallupi sillakuqtiymi phakaykuna wañupun,cuando cabalgo se me adormecen las piernas
mana samaspaqa apurayllan wañurapunchisman,si no respiramos aire podemos morir en menos de un minuto
kay saramanta apiqa pipullañan kashan,esta mazamorra de maíz está muy espesa
tintinqa wasimasinchispa sach'akunapin wiñan,la granadilla crece enredándoselos árboles vecinos
phatasqa mankapiqa manan unuqa takyanchu,en olla rajada ya no se mantiene el agua
pisi kachiyuq kisuqa p'oshquyanmi,el queso preparado con poca sal se avinagra
may hawapipas rumiqa kallanpuni,en cualquier lugar siempre hay piedras
chay runaqa llullakachakuspan purin,esa persona es acostumbradallevar chismes
"¡millayta k´aminakunki ,  manachu runatapas manchakunki !",¡qué feo discutes !  ¡no tienes ni miedola gente !
qella wawakunataqa supaytan cheqnini,a los niños ociosos los odio terriblemente
wakaqa cebadata lliwta tukuy pampaman wikharapusqa,la vaca había destrozado el cebadal
chay waylaka warmiqa tukuymanmi kachita wishñarapusqa,esa mujer inútil ha derramado toda la bolsa de sal
¿ pitaq chay t'ikakunatari t´iraran ?,quién arrancó esas flores ?
chay michiqa nishu pukllaysapallañan,ese gato es muy jugueton
juicion tukunankama wisq'asqa kanki,mientras dure el juicio tú estarás preso
hamawt´akunan inkakunataqa yanapan llaqta pusariytaqa,los sabios ayudabangobernarlos incas
wayk'usqa añutaqa qasachinan chaymanta mikhuna,la mashua cocida se la hace congelarse come
tintaya qoyamitamantan cobreta orqonku,de la mina de tintaya extraen el metal llamado cobre
lushk'a rumichatan ñanpi saqenki,dejarás una piedrecita lisa en el camino
apinquya ruruqa qhuñaman rikch'akuq mikhuyniyuqmi,la granadilla tiene la parte comestible flemosa
apasanqaqa parananpaqmi t'oqonmanta lloqsimun,la tarántula sale de su agujero anunciando la lluvia
kunan warmikunaqa manañan wayliyata riksinkuchu,las muchachas de la actualidad ya no conocen la huayliya
"aqo aqo hallp´aqa chirillañan ,  chaymi mana allintachu kawsayqa rurun",los terrenos arenosos son «fríos»; por esto producen poco
"llaqtakunapi ,  asnapata rantiqtinchisqa ,  asnapawanmi yapawanchis","en los pueblos ,  si compramos verduras , nos agregan con hierbas aromáticas"
alqoykiqa huklawmanmi uñankunata aparusqa,esa tu perra trasladó sus críasotra madriguera
"¡yaw asnu runa ,  chayqa manam lloq'e makichu !",¡oye bruto !  esa no es la mano izquierda
awa k'aspikuna ukhupiqa tarikun takanakuna,entre los componentes del telar se encuentran las estacas
llamata aysaspa llaqtata riy,vé al pueblo jalando la llama
wawata makinmanta aysay,conduce al niño de las manos
hallp´a pampata pichanapaqqa unuchatan ñawpaqtaqa hich'ana,para barrer el piso de tierra antes se rocía con agua
"chiqninakuyqa manan allinchu ,  aswanmi allinmi llank'ay","la envidia nunca es buena ,  en su lugar mejor es trabajar"
ankaqa hanaqpacha wasapaykaman phawan,el águila vuela muy alto
k'anas runakunaqa ch'eqchi p'achayuq kanku,los pobladores de canas llevan ropa gris
paqarin ch'isi huñunakuspa rimanakusunchis llank'asunchistaq,reuniéndonos mañana por la noche dialogaremostrabajaremos
tusuqkunaqa sapallankun kanku; huk qharin puchun,los bailarines están dispares; sobra un hombre
huk llaqtakunapiqa runaqa qallu qallutapas mikhunkun,en otros pueblos la gente come caracoles
millaykunata mushkhispa sasapunin hark´ay millayta kurpunchis ruwanman,es difícil inhibir reacciones corporales desagradables cuando olemos terribles olores
"aqtoq mushkhiynin ,  llimp´in pampapi kshaspa supay millaypunin","el olor ,  el colorla textura del vómito que se encuentran en el suelo es asqueroso"
wasanchayqa ancha munakuy kawsaypipas kallanmi,la traición ocurre incluso en estrechas relaciones
manan kanchu huk p´anay huchaykimanta ichaqa huchasapa yuyayniyki,no hay un castigo mayor por tus propios pecados que una conciencia culpable
mana yanapayqa qella kaymantan hamun manataq wakinkunata hark´ayta munankuchu,negarlealguien apoyomenudo proviene de la perezala renuenciacuidarlos demás
hawa runakuna cheqnikuyqa llanthutan runaq willakuyninpi apamun,el desprecio por los demás que se consideran extranjeros ha echado una sombra sobre la historia de la humanidad
mancharikuypunin imaynata runakuna wak runakunata saruspa kusisqa kanku,es impactante que las personas obtengan la satisfacción de la explotación de los demás
millaypunin imaynatan taytakuna wawankuta maqanku,es horrible que los padres abusen de sus propios hijos
pedroq chaninchasqaqa allinmi kashan,¿ la deducción de pedro es correcta ?
"manan yuyaysapachu kanateqsimuyuta intindinapaqqa ,  manan sasachu: llapanmi qolqewan kamachisqa kashan","no tienes que ser un genio para entender el mundo ,  es muy simple: todo está gobernado por el dinero"
pedroqa ishkaykama t'antata rantisqa,pedro compró el doble de panes
"asia hatun k´iruyuq karan ,  ch´umpi yawaryasqa llapan kurpunpi","asia tenía heridas extensas ,  sangrientasmarrones en todo su cuerpo"
"maqay ,  t´ipiy chaykunawanmi wawakunata uywaranku","golpear ,  pellizcargolpear fueron las únicas prácticas de crianza que usó en sus hijos"
"kay pachapi nishu sipinakuy kan ,  ichaqa manapunin waylluyta sipinahinachu","hay crímenes graves en este mundo ,  pero ninguno más grave que matar el amor"
warminta sipiyta munaran mana t´aqanakuyta munaspa,quería matarsu esposa porque no estaba de acuerdo con concederle un divorcio
mana yuyayniyuq runakuna rimayninkuta churayta munanku wakinman cheqninan kanan,las personas ignorantesde clase baja que intentan imponer su punto de vista sobre los demás merecen desprecio
wawa kasqaymanta yuyarispa llakillata yuyarini,el sufrimiento es el único recuerdo que surge cuando pienso en mi infancia
"sapa wata ,  ashkha runakuna qhopo onqoymanta wañunku manan qolqenku hampichikunankupaq kanchu","cada año ,  másmás personas mueren de tumores porque carecen de los recursos financieros para el tratamiento"
"runaqa millaymi ,  imatapas ruwanmi",el hombre es vil; se acostumbratodo
erqekunaq manan unaypi huk phakmi t´antapas siminkupi kasqachu,los niños no habían tenido una barra de pan en la boca en mucho tiempo
chay ruwayta mana chaskisqachu millaypunin chayqa consejo viceministro nisqakunamanta hamuq,despreció tal comportamientolo consideró indigno de un miembro del consejoun viceministro
"muyuyninkupi kaqtinku ,  qonqurikusqaku takita takisqaku mana maqanakuspalla suwachikusqaku","cuando estaban rodeados ,  se arrodillaroncantaron cancionesse dejaron secuestrar sin resistencia"
"¡wañuy ,  saqraq sutinpi llapan nina pacha ,  ñakayki !","¡perece ,  en nombre de satanástodo el infierno ,  te maldigo !"
hatun t´oqomanmi millay runakunaqa wañusqa runaq kurpunkunata chanqaykusqaku,el agujero profundo fue donde los verdugos se libraron de los cuerpos de sus víctimas
"yaraqay nishutapunin sipisqa ,  ichaqa mikhuna churanan ch´usaq kasqa","el hambre lo afligió cada vez más ,  pero su nevera estaba vacía"
yaraqayqa cheqaqpunin sichus wakin wak runakunata mikhunapaq qhawan,el hambre es real cuando alguien miraotras personas como algo para comer
manan waylluytaqa huchapi t´ikachinachu,no permitir que el amor florezca es un pecado
"sach´a sach´a ñanpi ,  wañusqa taruqaq qaranta tarisqaku huk trampapi hap´ichikusqa","siguiendo el camino del bosque ,  encontraron la carcasa de un ciervo que había muerto cuando se quedó atrapado en una trampa"
manan huk cheqninakuy teqsimuyupi tiyaymanchu,no puedo vivir en un mundo tan lleno de indiferenciadesensibilización
john sapallanmi kasqa khumpankuna turiyaqtinku,john estaba solo porque sus amigos se burlaron de él
"john p´achanta mana musqachu t´qsayta ,  chaymi millayta asnasqa","john decidió no lavar su ropa ,  lo que causó su olor desagradable"
"mana rimayta atispa p´enqasqa ,  tiyanaypi tiyarani ,  llallisqa","tartamudeandosonrojado ,  me senté en mi asiento ,  derrotado"
"wiksan ch´illan ukhu kuchusqakunan kashan ,  ch´akisqa k´irikuna ,  q´oyukuna kuchusqakuna","su estómagola ingle están marcados con trazas profundas ,  costras ,  moretonescortes"
kikin kayninqa manan allinchu kasqa yawar p´achayuqmi kasqa asnasqataqmi,su apariencia estaba fuera de lugar porque tenía ropa sangrientamal olor
"nanaypa ruwasqanmi kani ,  huk k´iri kicharisqa manan allinchu kanman","solo soy la suma total de dolor ,  una herida abierta que podría resultar fatal"
manan allin musqhoymi kayku noqaykuwan manan imatapas ruwayta atinkichu,somos tu peor pesadillano sabes qué hacer con nosotros
¿ hayk´aqmi kay qhelli awqakunata sipiyta qallarisunchis ?,¿ cuándo comenzaremosdisparar finalmenteestos sucios enemigos ?
"sichus llakisqa runata rikuni chayqa ,  kuypuypin nanayninta tarini","cuando veouna persona que sufre ,  siento su dolor en mi cuerpo"
mana samayniyuq kanankukama wayllunakurqanku .  aswanpas mana kutichinakuspa,"se amaban hasta que estaban sin aliento ,  pero sin reciprocidad"
chris manan ch´uya runachu,chris no es un aliado leal
yana,enamorado (a)
tayta,padre
kaqniyuq,adinerado
alaqha,adorno
k'anchayay,brillar
alqo/allqo,perro
tintin,tumbo
ayllu,familia
ch'ampa,césped
harawi,poesía
kusisqa,feliz
haylli,himno
illa,amuleto
kallpa,fuerza
aqha,chicha
awki,hombre de mayor edad de una comunidad (anciano)
qatiy,continúa !  sigue !
qheshwa runa,quechuas
raymi,fiesta
raphi,hoja
pachaq chikusqankuna,señas de la naturaleza
taki,canción
seq'e,dibujo
tarpuy,siembra
ukyay,beber
hamaw t´a,sabio
unu,agua
rayqh a,riachuelo
sach'a,árbol
kusa,magnífico
mishk'i,dulceagradable
llamp'u,suave
pukllay,jugar
yachachiy,enseñar
t'ikariy,florecerprosperar
t'aqllay,aplaudir
ruruy,producir
ch'uya,"limpio ,  perfecto"
llank'aq-masi,compañero de trabajo
llaphlla,laminado
q'ello,amarillo
p'aqo,rubio
llapanku aynipi yanapanakuspa llank'aranku,todos se ayudaban trabajando en ayni
qosqopi wakin runakunan sumaq wasikunata qespichiranku,algunos personajes cusqueños construyeron hermosas casonas
chayaramuqtiykin kusisqa kashani,estoy feliz porque llegaste
sumaqmi ñawiyki,tus ojos son bonitos
kay llaqtapipunin tiyasaq,siempre viviré en este pueblo
kutiramusaqña,ya vuelvo
aychanmi mishk'illaña,su carne es agradable
layomantan hamushani,estoy viniendo de layo
t'ika wiñashan,la flor está creciendo
qanqa sumaq runa kanki,tú eres buena gente
ñawinchaytan paqarin yachachisqayki,mañana te enseñoleer
pedron llank'ashan,pedro está trabajando
